,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Impairment Of Capital Assets,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Amortization,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Rent And Landing Fees,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2026-03-31,2420000000.0,0.4,19950000000.0,6050000000.0,6050000000.0,3660000000.0,15970000000.0,301670000000.0,26000000000.0,10030000000.0,470000000.0,3880000000.0,7040000000.0,30000000.0,3660000000.0,544270000000.0,1440000000.0,9282220411.0,9108380079.0,0.39,0.4,3660000000.0,3660000000.0,0.0,3660000000.0,0.0,3660000000.0,3660000000.0,2490000000.0,6150000000.0,300000000.0,-410000000.0,-160000000.0,570000000.0,,470000000.0,2690000000.0,3880000000.0,7040000000.0,-630000000.0,242600000000.0,142330000000.0,15970000000.0,3060000000.0,12910000000.0,47500000000.0,38300000000.0,9200000000.0,1440000000.0,241970000000.0,301670000000.0,543640000000.0,543640000000.0
2025-03-31,1297560975.609756,0.243902,11790000000.0,5320000000.0,5320000000.0,5270000000.0,8630000000.0,55650000000.0,17110000000.0,8480000000.0,1410000000.0,1510000000.0,4680000000.0,1247560975.609756,5270000000.0,202330000000.0,680000000.0,9135875433.0,8828694006.0,0.58,0.6,5270000000.0,5270000000.0,0.0,5270000000.0,0.0,5270000000.0,5270000000.0,1700000000.0,6970000000.0,150000000.0,-590000000.0,80000000.0,510000000.0,,1410000000.0,1760000000.0,1510000000.0,4680000000.0,100000000.0,146680000000.0,83760000000.0,8630000000.0,2870000000.0,5760000000.0,28030000000.0,22970000000.0,5060000000.0,680000000.0,146780000000.0,55650000000.0,202430000000.0,202430000000.0
2024-03-31,1410000000.0,0.3,4160000000.0,4700000000.0,4700000000.0,3510000000.0,5260000000.0,28820000000.0,8860000000.0,3600000000.0,1850000000.0,690000000.0,3690000000.0,220000000.0,3510000000.0,124970000000.0,440000000.0,8755246830.0,8493497136.0,0.4,0.41,3510000000.0,3510000000.0,0.0,3510000000.0,0.0,3510000000.0,3510000000.0,-600000000.0,2910000000.0,180000000.0,210000000.0,-90000000.0,-120000000.0,,1850000000.0,1150000000.0,690000000.0,3690000000.0,-3830000000.0,96150000000.0,54620000000.0,5260000000.0,2420000000.0,2840000000.0,19240000000.0,16020000000.0,3220000000.0,440000000.0,92320000000.0,28820000000.0,121140000000.0,121140000000.0
2023-03-31,56354679.802956,0.04335,-6620000000.0,1300000000.0,1300000000.0,-9710000000.0,4370000000.0,13950000000.0,-5320000000.0,-9690000000.0,3880000000.0,460000000.0,5290000000.0,-10953645320.197044,-9710000000.0,86200000000.0,420000000.0,8101158888.0,8101158888.0,-1.2,-1.2,-9710000000.0,-9710000000.0,0.0,-9710000000.0,0.0,-9710000000.0,-9710000000.0,-440000000.0,-10150000000.0,500000000.0,390000000.0,-90000000.0,-300000000.0,0.0,3880000000.0,950000000.0,460000000.0,5290000000.0,-15850000000.0,72250000000.0,36990000000.0,4370000000.0,2560000000.0,1810000000.0,16260000000.0,13420000000.0,2840000000.0,420000000.0,56400000000.0,13950000000.0,70350000000.0,70350000000.0
2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000.0,,,,,,,,,,,,,,,,,,
